,account,search_count,balance,temp,2023-02-06,2023-02-07,2023-02-08,2023-02-09,2023-02-10,2023-02-11,2023-02-12,2023-02-13
2.02E+13,link109u9wwtzp3jtpc6gwhs27xzwh28a73d5hq2y4x,5,72883,,63083,63083,63083,63083,63083,72883,72883,72883
2.02E+13,link12wmkprs8003kda7t37swrkq7uqvd856kfcc6zq,5,18390,,17721,17828,18350,18243,18414,18076,18582,18390
2.02E+13,link14hj2tavq8fpesdwxxcu44rty3hh90vhujrvcmstl4zr3txmfvw9sgf2vn8,5,66929,,66934,66934,66934,66933,66932,66932,66930,66929
2.02E+13,link155svs6sgxe55rnvs6ghprtqu0mh69kehka00mt,5,7687,,5249,5228,5212,5196,5026,7721,7665,7687
2.02E+13,link16wjsayd6cskgr0xklud4ersxgz5s29fkqmjydc,5,1258,,1272,1272,1268,1260,1260,1260,1257,1258
2.02E+13,link17hww0chwhysf2zdvqed0s80q22nlkpp2atnzm3,5,8050,,7933,7946,7944,7961,8000,8026,8043,8050
2.02E+13,link1fg4hexp0lje8rdyj2l64py7fjn48tmhr8rawm4,5,436573,,436573,436573,436573,436573,436573,436573,436573,436573
2.02E+13,link1futjm4qspuh38mupnsagynnalvk6w93pf6r5k2,5,2743,,2228,2257,2318,2430,2557,2620,2686,2743
2.02E+13,link1jgljm4wdegdthpmfc74vlruuq9rr3xnklap4zm,5,3117,,3223,3223,3253,3366,3366,3294,2924,3117
2.02E+13,link1kle0am4rwhsl8w8n7lhcxtfpgn4en4tyzvxgzl,5,3715,,3632,3632,3681,3681,3706,3715,3715,3715
2.02E+13,link1lvpzgy352969z7mlcxjfua7jsmks6swl222agc,5,623903,,618998,619439,620651,620676,622067,624290,623742,623903
2.02E+13,link1n9ydc5m9nsdg5zval4tvacepjxuhz0k5ht94de,5,4298076,,4298076,4298076,4298076,4298076,4298076,4298076,4298076,4298076
2.02E+13,link1p9h0qypanl6ps04ezs9qr6arengvs998vd6eea,5,168184,,168184,168184,168184,168184,168184,168184,168184,168184
2.02E+13,link1s7l5j8qkyerz27st0amvz6r67trfaateqzly2a,5,167262,,166624,166554,166588,166475,166751,167043,167455,167262
2.02E+13,link1sut09a7j6c9pjc0mndfelvw4jqr9ddql6uusqq,5,402,,12902,12902,12902,12902,12902,402,402,402
2.02E+13,link1u34dgxjsyqte85d9rw3x9nv80as2cseupdexms,5,146311,,146311,146311,146311,146311,146311,146311,146311,146311
2.02E+13,link1uq4tx5g99yyrhns9807ltsq9nkv99zzqnxfp75,5,223832,,230291,229757,227772,226887,225653,224796,224430,223832
2.02E+13,link1vw8tgsq45yjsunse7m4qssxemk4ecs36lx8q72,5,30000,,30000,30000,30000,30000,30000,30000,30000,30000
