,account,search_count,balance,temp,2023-02-19,2023-02-20,2023-02-21,2023-02-22,2023-02-22-2,2023-02-23,2023-02-23-2,2023-02-24,2023-02-24 2,2023-02-25,2023-02-26,2023-02-27,2023-02-28,2023-02-28-2,2023-03-01,2023-03-02,2023-03-02-2,2023-03-03,2023-03-04
20200000000000.0,link1n9ydc5m9nsdg5zval4tvacepjxuhz0k5ht94de,24,4298076,,4298076,4298076,4298076,4298076,4298076,4298076,4298076,4298076,4298076,4298076,4298076,4298076,4298076,4298076,4298076,4298076,4298076,4298076,4298076
20200000000000.0,link1lvpzgy352969z7mlcxjfua7jsmks6swl222agc,23,744948,,638190,642228,643047,668756,691724,695823,705830,706988,706977,708439,712107,715828,717629,717929,719556,726195,738870,741663,743703
20200000000000.0,link1fg4hexp0lje8rdyj2l64py7fjn48tmhr8rawm4,23,357067,,436604,436604,436604,456604,356604,356604,356604,356604,356604,356604,356604,356604,356604,356604,356604,356604,356604,356604,357067
20200000000000.0,link1uq4tx5g99yyrhns9807ltsq9nkv99zzqnxfp75,23,199265,,202327,194477,184217,153184,240501,238472,238390,237845,237815,236404,233510,231511,229751,229030,226414,219323,206465,203972,200300
20200000000000.0,link1trnn5gdtdlf484hyh38evwte66j6vysk9lv5k5,22,180913,,180913,180913,180913,180913,180913,180913,180913,180913,180913,180913,180913,180913,180913,180913,180913,180913,180913,180913,180913
20200000000000.0,link1s7l5j8qkyerz27st0amvz6r67trfaateqzly2a,23,177906,,179125,180185,179920,179208,177639,177737,169575,170452,171486,171486,172705,173647,174375,174601,174601,175045,175480,175480,176079
20200000000000.0,link1p9h0qypanl6ps04ezs9qr6arengvs998vd6eea,23,162004,,168184,168184,168184,168184,168184,168184,168184,168184,168184,168184,168184,168184,162004,162004,162004,162004,162004,162004,162004
20200000000000.0,link1st29dn3gpy7jl9rxwsksa6jkjaxk7m5rctmfhj,22,164214,,164214,164214,164214,164214,164214,164214,164214,164214,164214,164214,164214,164214,164214,164214,164214,164214,164214,164214,164214
20200000000000.0,link1u34dgxjsyqte85d9rw3x9nv80as2cseupdexms,23,126461,,146311,146311,146311,126311,126311,126311,126311,126311,126311,126311,126311,126311,126311,126386,126386,126386,126461,126461,126461
20200000000000.0,link1w7efq4znyzxp4lh07hzhzr95xzqhchymz6vdex,22,70700,,70700,70700,70700,70700,70700,70700,70700,70700,70700,70700,70700,70700,70700,70700,70700,70700,70700,70700,70700
20200000000000.0,link109u9wwtzp3jtpc6gwhs27xzwh28a73d5hq2y4x,23,53883,,68883,68883,67883,65883,65883,65883,65883,63883,63883,63883,62883,59883,59883,59883,59883,56883,56883,56883,56883
20200000000000.0,link14hj2tavq8fpesdwxxcu44rty3hh90vhujrvcmstl4zr3txmfvw9sgf2vn8,23,66919,,66927,66927,66926,66925,66924,66924,66924,66923,66923,66923,66923,66922,66921,66921,66921,66920,66920,66919,66919
20200000000000.0,link1vw8tgsq45yjsunse7m4qssxemk4ecs36lx8q72,23,30000,,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
20200000000000.0,link12wmkprs8003kda7t37swrkq7uqvd856kfcc6zq,23,23030,,18152,19661,28836,31315,29266,27020,27011,26224,26274,25793,25517,23971,23679,23492,23792,23230,23267,22780,24070
