,curr_time,current_balance,var_balance
START_LINE,0,0,0
20230123224518,20230123224518,590463,590463
20230123224534,20230123224534,590463,0
20230123224549,20230123224549,590463,0
20230123224605,20230123224605,590463,0
20230123224643,20230123224643,590463,0
20230123224658,20230123224658,590463,0
20230123224713,20230123224713,590463,0
20230123224727,20230123224727,590463,0
20230123224742,20230123224742,590463,0
20230123232655,20230123232655,590819,356
20230123232708,20230123232708,590819,0
20230123232720,20230123232720,590819,0
20230123232804,20230123232804,590819,0
20230123232816,20230123232816,590819,0
20230123232833,20230123232833,590819,0
20230123232846,20230123232846,590819,0
20230123232858,20230123232858,590819,0
20230123232910,20230123232910,590819,0
20230123233246,20230123233246,590818,-1
20230123233300,20230123233300,590818,0
20230124002333,20230124002333,590787,-31
20230124002351,20230124002351,590787,0
