,curr_time,current_balance,var_balance
START_LINE,0,0,0
20230124131116,20230124131116,591707,591707
20230124131151,20230124131151,591707,0
20230124131225,20230124131225,591707,0
20230124131259,20230124131259,591707,0
20230124131333,20230124131333,591707,0
20230124131407,20230124131407,591707,0
20230124131441,20230124131441,591707,0
20230124131515,20230124131515,591707,0
20230124131552,20230124131552,591707,0
20230124131626,20230124131626,591707,0
20230124131808,20230124131808,591707,0
20230124131842,20230124131842,591707,0
20230124131950,20230124131950,591707,0
20230124132132,20230124132132,591707,0
20230124132240,20230124132240,591707,0
20230124132316,20230124132316,591707,0
20230124132351,20230124132351,591707,0
20230124132715,20230124132715,591707,0
20230124132749,20230124132749,591707,0
20230124132857,20230124132857,591707,0
20230124132931,20230124132931,591707,0
20230124133005,20230124133005,591707,0
20230124133039,20230124133039,591709,2
20230124133114,20230124133114,591709,0
20230124133148,20230124133148,591709,0
20230124133222,20230124133222,591709,0
20230124133404,20230124133404,591709,0
20230124133655,20230124133655,591708,-1
20230124133730,20230124133730,591708,0
20230124133804,20230124133804,591708,0
20230124133912,20230124133912,591708,0
20230124133946,20230124133946,591677,-31
20230124134024,20230124134024,591677,0
20230124134058,20230124134058,591677,0
20230124134132,20230124134132,591677,0
20230124134240,20230124134240,591677,0
20230124134348,20230124134348,591677,0
20230124134422,20230124134422,591677,0
20230124134604,20230124134604,591677,0
20230124134749,20230124134749,591677,0
20230124134823,20230124134823,591677,0
20230124134857,20230124134857,591677,0
20230124134932,20230124134932,591677,0
20230124135040,20230124135040,591677,0
20230124135148,20230124135148,591677,0
20230124135259,20230124135259,591677,0
20230124135407,20230124135407,591677,0
20230124135441,20230124135441,591677,0
20230124135515,20230124135515,591683,6
20230124135550,20230124135550,591683,0
20230124135658,20230124135658,591683,0
20230124135732,20230124135732,591683,0
20230124135809,20230124135809,591683,0
20230124135843,20230124135843,591683,0
20230124135951,20230124135951,591683,0
20230124140059,20230124140059,591683,0
20230124140133,20230124140133,591683,0
20230124140207,20230124140207,591683,0
20230124140241,20230124140241,591683,0
20230124140350,20230124140350,591683,0
20230124140426,20230124140426,591683,0
20230124142028,20230124142028,591721,38
20230124142103,20230124142103,591721,0
20230124142246,20230124142246,591721,0
20230124142320,20230124142320,591721,0
20230124142355,20230124142355,591721,0
